question,answer,solution,difficulty,category,dataset,split,problem_text,solution_text,text_length,word_count,sentence_count,math_ops_count,number_count,difficulty_level,dataset_name,source_dataset,Problem,Rationale,correct,options,sQuestion,lSolutions,lEquations,iIndex,problem_id,subject,solution_steps,final_answer,symbolic_complexity,step_count
Janet's dogs eat 2 pounds of dog food per day. How many pounds of dog food do her dogs eat in 3 days?,6 pounds,"Janet's dogs eat 2 pounds of dog food per day. In 3 days, they will eat 2 * 3 = 6 pounds of dog food.",basic,word_problem,gsm8k,train,Janet's dogs eat 2 pounds of dog food per day. How many pounds of dog food do her dogs eat in 3 days?,6 pounds,101,23,3,0,2,basic,gsm8k_train,gsm8k_train,,,,,,,,,,,,,,
"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,"There are 15 trees initially. After planting, there will be 21 trees. So the workers planted 21 - 15 = 6 trees.",basic,word_problem,gsm8k,train,"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,178,34,5,0,2,basic,gsm8k_train,gsm8k_train,,,,,,,,,,,,,,
"Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?",39 chocolates,"Leah had 32 chocolates and her sister had 42. Together they had 32 + 42 = 74 chocolates. After eating 35, they have 74 - 35 = 39 chocolates left.",intermediate,word_problem,gsm8k,train,"Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?",39 chocolates,105,22,3,0,3,intermediate,gsm8k_train,gsm8k_train,,,,,,,,,,,,,,
"If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?",5 cars,There are 3 cars initially. 2 more cars arrive. So there are 3 + 2 = 5 cars in the parking lot.,basic,word_problem,gsm8k,train,"If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?",5 cars,100,22,2,0,2,basic,gsm8k_train,gsm8k_train,,,,,,,,,,,,,,
"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,"There are 15 trees initially. After planting, there will be 21 trees. So the workers planted 21 - 15 = 6 trees.",basic,word_problem,gsm8k,train,"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,178,34,5,0,2,basic,gsm8k_train,gsm8k_train,,,,,,,,,,,,,,
Janet's dogs eat 2 pounds of dog food per day. How many pounds of dog food do her dogs eat in 3 days?,6 pounds,"Janet's dogs eat 2 pounds of dog food per day. In 3 days, they will eat 2 * 3 = 6 pounds of dog food.",basic,word_problem,gsm8k,test,Janet's dogs eat 2 pounds of dog food per day. How many pounds of dog food do her dogs eat in 3 days?,6 pounds,101,23,3,0,2,basic,gsm8k_test,gsm8k_test,,,,,,,,,,,,,,
"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,"There are 15 trees initially. After planting, there will be 21 trees. So the workers planted 21 - 15 = 6 trees.",basic,word_problem,gsm8k,test,"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,178,34,5,0,2,basic,gsm8k_test,gsm8k_test,,,,,,,,,,,,,,
"Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?",39 chocolates,"Leah had 32 chocolates and her sister had 42. Together they had 32 + 42 = 74 chocolates. After eating 35, they have 74 - 35 = 39 chocolates left.",intermediate,word_problem,gsm8k,test,"Leah had 32 chocolates and her sister had 42. If they ate 35, how many pieces do they have left in total?",39 chocolates,105,22,3,0,3,intermediate,gsm8k_test,gsm8k_test,,,,,,,,,,,,,,
"If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?",5 cars,There are 3 cars initially. 2 more cars arrive. So there are 3 + 2 = 5 cars in the parking lot.,basic,word_problem,gsm8k,test,"If there are 3 cars in the parking lot and 2 more cars arrive, how many cars are in the parking lot?",5 cars,100,22,2,0,2,basic,gsm8k_test,gsm8k_test,,,,,,,,,,,,,,
"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,"There are 15 trees initially. After planting, there will be 21 trees. So the workers planted 21 - 15 = 6 trees.",basic,word_problem,gsm8k,test,"There are 15 trees in the grove. Grove workers will plant trees in the grove today. After they are done, there will be 21 trees. How many trees did the grove workers plant today?",6 trees,178,34,5,0,2,basic,gsm8k_test,gsm8k_test,,,,,,,,,,,,,,
,,,,algebra,mathqa,train,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,38,12,2,2,2,basic,mathqa_train,mathqa_train,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,4,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
,,,,calculus,mathqa,train,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,42,11,1,3,2,basic,mathqa_train,mathqa_train,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,2x + 3,a) x + 3 b) 2x + 3 c) 2x d) x^2 + 3,,,,,,,,,,
,,,,geometry,mathqa,train,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,44,9,1,0,1,basic,mathqa_train,mathqa_train,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,25π,a) 10π b) 25π c) 50π d) 100π,,,,,,,,,,
,,,,algebra,mathqa,train,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,30,8,1,2,2,basic,mathqa_train,mathqa_train,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,5,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
,,,,algebra,mathqa,train,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",41,12,2,2,1,basic,mathqa_train,mathqa_train,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",2,a) 1 b) 2 c) 3 d) 4,,,,,,,,,,
,,,,algebra,mathqa,test,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,38,12,2,2,2,basic,mathqa_test,mathqa_test,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,4,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
,,,,calculus,mathqa,test,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,42,11,1,3,2,basic,mathqa_test,mathqa_test,Find the derivative of f(x) = x^2 + 3x + 1,Apply power rule: d/dx(x^2) = 2x. Apply constant rule: d/dx(3x) = 3. So f'(x) = 2x + 3,2x + 3,a) x + 3 b) 2x + 3 c) 2x d) x^2 + 3,,,,,,,,,,
,,,,geometry,mathqa,test,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,44,9,1,0,1,basic,mathqa_test,mathqa_test,Calculate the area of a circle with radius 5,Area = πr^2 = π(5)^2 = 25π,25π,a) 10π b) 25π c) 50π d) 100π,,,,,,,,,,
,,,,algebra,mathqa,test,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,30,8,1,2,2,basic,mathqa_test,mathqa_test,Solve the equation: 3x - 7 = 8,Add 7 to both sides: 3x = 15. Then divide by 3: x = 5,5,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
,,,,algebra,mathqa,test,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",41,12,2,2,1,basic,mathqa_test,mathqa_test,What is the slope of the line y = 2x + 3?,"The slope is the coefficient of x, which is 2",2,a) 1 b) 2 c) 3 d) 4,,,,,,,,,,
,,,,algebra,mathqa,validation,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,38,12,2,2,2,basic,mathqa_validation,mathqa_validation,What is the value of x if 2x + 5 = 13?,Subtract 5 from both sides: 2x = 8. Then divide by 2: x = 4,4,a) 3 b) 4 c) 5 d) 6,,,,,,,,,,
