Problem,Rationale,options,correct,annotated_formula,linear_formula,category
the banker ' s gain of a certain sum due 3 years hence at 10 % per annum is rs . 36 . what is the present worth ?,"""explanation : t = 3 years r = 10 % td = ( bg × 100 ) / tr = ( 36 × 100 ) / ( 3 × 10 ) = 12 × 10 = rs . 120 td = ( pw × tr ) / 100 ⇒ 120 = ( pw × 3 × 10 ) / 100 ⇒ 1200 = pw × 3 pw = 1200 / 3 = rs . 400 answer : option a""","a ) rs . 400 , b ) rs . 300 , c ) rs . 500 , d ) rs . 350 , e ) none of these",a,"divide(multiply(const_100, divide(multiply(36, const_100), multiply(3, 10))), multiply(3, 10))","multiply(n2,const_100)|multiply(n0,n1)|divide(#0,#1)|multiply(#2,const_100)|divide(#3,#1)|",gain
average age of students of an adult school is 40 years . 120 new students whose average age is 32 years joined the school . as a result the average age is decreased by 4 years . find the number of students of the school after joining of the new students .,"""explanation : let the original no . of students be x . according to situation , 40 x + 120 * 32 = ( x + 120 ) 36 ⇒ x = 120 so , required no . of students after joining the new students = x + 120 = 240 . answer : d""","a ) 1200 , b ) 120 , c ) 360 , d ) 240 , e ) none of these",d,"multiply(divide(subtract(multiply(add(32, 4), 120), multiply(120, 32)), subtract(40, add(32, 4))), 4)","add(n2,n3)|multiply(n1,n2)|multiply(n1,#0)|subtract(n0,#0)|subtract(#2,#1)|divide(#4,#3)|multiply(n3,#5)|",general
sophia finished 2 / 3 of a book . she calculated that she finished 90 more pages than she has yet to read . how long is her book ?,"let xx be the total number of pages in the book , then she finished 23 ⋅ x 23 ⋅ x pages . then she has x − 23 ⋅ x = 13 ⋅ xx − 23 ⋅ x = 13 ⋅ x pages left . 23 ⋅ x − 13 ⋅ x = 9023 ⋅ x − 13 ⋅ x = 90 13 ⋅ x = 9013 ⋅ x = 90 x = 270 x = 270 so the book is 270 pages long . answer : b","a ) 229 , b ) 270 , c ) 877 , d ) 266 , e ) 281",b,"divide(90, subtract(const_1, divide(2, 3)))","divide(n0,n1)|subtract(const_1,#0)|divide(n2,#1)",general
120 is what percent of 50 ?,"""50 * x = 120 - - > x = 2.4 - - > 2.4 expressed as percent is 240 % . answer : b .""","a ) 5 % , b ) 240 % , c ) 50 % , d ) 2 % , e ) 500 %",b,"multiply(divide(120, 50), const_100)","divide(n0,n1)|multiply(#0,const_100)|",gain
there are 10 girls and 20 boys in a classroom . what is the ratio of girls to boys ?,"if girls is 10 and boys is 20 , then 10 / 20 . so ratio of girls to boys is = 10 / 20 = 1 / 2 answer : a","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 10 / 30 , e ) 2 / 5",a,"divide(10, 20)","divide(n0,n1)",other
"an empty fuel tank with a capacity of 218 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?","""say there are a gallons of fuel a in the tank , then there would be 218 - a gallons of fuel b . the amount of ethanol in a gallons of fuel a is 0.12 a ; the amount of ethanol in 218 - a gallons of fuel b is 0.16 ( 218 - a ) ; since the total amount of ethanol is 30 gallons then 0.12 a + 0.16 ( 218 - a ) = 30 - - > a = 122 . answer : a .""","a ) 122 , b ) 150 , c ) 100 , d ) 80 , e ) 50",a,"divide(subtract(multiply(218, divide(16, const_100)), 30), subtract(divide(16, const_100), divide(12, const_100)))","divide(n2,const_100)|divide(n1,const_100)|multiply(n0,#0)|subtract(#0,#1)|subtract(#2,n3)|divide(#4,#3)|",gain
"an article is bought for rs . 823 and sold for rs . 1000 , find the gain percent ?","""823 - - - - 177 100 - - - - ? = > 21.5 % answer : b""","a ) 21.4 % , b ) 21.5 % , c ) 21.6 % , d ) 21.7 % , e ) 21.8 %",b,"subtract(const_100, divide(multiply(1000, const_100), 823))","multiply(n1,const_100)|divide(#0,n0)|subtract(const_100,#1)|",gain
6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?,"""let rate of one worker be r = > ( 6 * r ) * 8 = 1 ( rate * time = work ) = > r = 1 / 48 = > work remaining after 3 days 1 - ( 3 * 6 ) / 48 = 30 / 48 after 4 ppl joined in ( ( 6 + 4 ) * time ) / 48 = 30 / 48 time m = 3 days to finish the task imo a""","a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",a,"divide(subtract(multiply(6, 8), multiply(3, 6)), add(6, 4))","add(n0,n3)|multiply(n0,n1)|multiply(n0,n2)|subtract(#1,#2)|divide(#3,#0)|",physics
j is 25 % less than p and 20 % less than t . t is q % less than p . what is the value of q ?,"""usually we can solve every question of this type by choosing appropriate value of the variable and deriving the value of other related variables . let , p = 400 then j = ( 75 / 100 ) * 400 = 300 also j = ( 80 / 100 ) * t i . e . t = 300 * 100 / 80 = 375 and t = [ 1 - ( q / 100 ) ] * p i . e . 100 - q = 100 * t / p = 100 * 375 / 400 = 93.75 i . e . q = 6.25 answer : option d""","a ) 93.5 , b ) 90 , c ) 6.75 , d ) 6.25 , e ) 2",d,"divide(multiply(25, 25), const_100)","multiply(n0,n0)|divide(#0,const_100)|",gain
"a student was asked to find 4 / 5 of a number . but the student divided the number by 4 / 5 , thus the student got 36 more than the correct answer . find the number .","""let the number be x . ( 5 / 4 ) * x = ( 4 / 5 ) * x + 36 25 x = 16 x + 720 9 x = 720 x = 80 the answer is c .""","a ) 60 , b ) 70 , c ) 80 , d ) 90 , e ) 100",c,"divide(divide(multiply(multiply(36, divide(4, 5)), divide(4, 5)), subtract(const_1, multiply(divide(4, 5), divide(4, 5)))), divide(4, 5))","divide(n0,n1)|multiply(n4,#0)|multiply(#0,#0)|multiply(#0,#1)|subtract(const_1,#2)|divide(#3,#4)|divide(#5,#0)|",general
