ID,Body,Question,Equation,Answer,Type,question_concat
chal-777,There are 87 oranges and 290 bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into 93 groups,How big is each group of bananas?,( 290.0 / 2.0 ),145,Common-Division,There are 87 oranges and 290 bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into 93 groups How big is each group of bananas?
chal-508,Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds.,How much did Marco's strawberries weigh?,( 30.0 - 11.0 ),19,Subtraction,Marco and his dad went strawberry picking. Marco's dad's strawberries weighed 11 pounds. If together their strawberries weighed 30 pounds. How much did Marco's strawberries weigh?
chal-896,Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12.,How much did each book cost?,( 6.0 / 2.0 ),3,Common-Division,Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12. How much did each book cost?
chal-923,"Frank was reading through his favorite book. The book had 3 chapters, each with the same number of pages. It has a total of 594 pages. It took Frank 607 days to finish the book.",How many pages are in each chapter?,( 594.0 / 3.0 ),198,Common-Division,"Frank was reading through his favorite book. The book had 3 chapters, each with the same number of pages. It has a total of 594 pages. It took Frank 607 days to finish the book. How many pages are in each chapter?"
chal-34,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket.,How much money does she have left?,( 78.0 - 15.0 ),63,Subtraction,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket. How much money does she have left?
chal-484,Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons.,How many more crayons did he lose than those he gave to his friends?,( 412.0 - 90.0 ),322,Subtraction,Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons. How many more crayons did he lose than those he gave to his friends?
chal-86,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower.,How many more blocks did he use to build the tower than he did to build the house?,( 50.0 - 20.0 ),30,Subtraction,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?
chal-751,After Jessie started to go jogging everyday she lost 126 kilograms. She currently weighs 66 kilograms.,How much did she weigh before starting to jog?,( 66.0 + 126.0 ),192,Addition,After Jessie started to go jogging everyday she lost 126 kilograms. She currently weighs 66 kilograms. How much did she weigh before starting to jog?
chal-355,At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left,How many tickets did Dave win at the arcade?,( 12.0 + 14.0 ),26,Addition,At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left How many tickets did Dave win at the arcade?
chal-524,Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves,How many books are there in each bookshelf?,( 34.0 / 2.0 ),17,Common-Division,Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves How many books are there in each bookshelf?
chal-185,Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left.,How many more apps did he delete than he added?,( 15.0 - 14.0 ),1,Subtraction,Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left. How many more apps did he delete than he added?
chal-810,Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do.,How many apples does Bob have?,( 14.0 + 6.0 ),20,Addition,Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do. How many apples does Bob have?
chal-419,You have 104 dollars.,How many packs of dvds can you buy if each pack costs 26 dollars?,( 104.0 / 26.0 ),4,Common-Division,You have 104 dollars. How many packs of dvds can you buy if each pack costs 26 dollars?
chal-616,Jerry had 7 books and 3 action figures on a shelf in his room. Later he added 2 more action figures to the shelf.,How many more books than action figures were on his shelf?,( 7.0 - ( 3.0 + 2.0 ) ),2,Subtraction,Jerry had 7 books and 3 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf?
chal-683,Melissa scored a total of 91 points in 13 games scoring the same for each game.,How many points did she score in each game?,( 91.0 / 13.0 ),7,Common-Division,Melissa scored a total of 91 points in 13 games scoring the same for each game. How many points did she score in each game?
chal-502,Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row.,How many rows could she make?,( 35.0 * ( 4.0 / 2.0 ) ),70,Multiplication,Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make?
